model,image,edge_intensity,color_std,texture_score,lpips,niqe,mean_brightness,std_brightness,contrast,sharpness_laplacian,blocking_artifacts,ringing_artifacts
DFOWMFC_GAN,200829_SwinIR,23.41735791065054,"[np.float64(70.8056783486364), np.float64(63.36882844493579), np.float64(62.69876849049962)]",972.6340013105273,0.03882104158401489,,59.876434463077416,65.83181853248239,65.06127907879981,353.7173118605323,97.10695415949863,32.258267597864894
DFOWMFC_GAN,200916_SwinIR,9.211159924612534,"[np.float64(19.483765939545332), np.float64(19.68262533124903), np.float64(20.379047675455126)]",182.43811940117524,0.06806933134794235,,7.202398120460842,19.852638020007728,19.699207948079977,175.4561478689337,22.22968208900535,22.322898844413118
DFOWMFC_GAN,210225_SwinIR,1.3917834051724138,"[np.float64(67.29813045057304), np.float64(67.22514539828941), np.float64(67.11126065383537)]",140.6422094429815,0.0484640896320343,,51.54926467569786,67.21155855483043,67.23532698436487,72.97619037310346,49.525179809617484,13.241639196875775
DFOWMFC_GAN,210226_SwinIR,7.256533260233918,"[np.float64(65.15041831924965), np.float64(61.98635193092228), np.float64(56.32645400073341)]",460.5724697959315,0.09813062846660614,,63.55686588513465,62.66718856688184,61.860416311284744,262.2498031602726,97.37354132933453,24.807749484041754
DFOWMFC_GAN,210531_SwinIR,7.729549153645833,"[np.float64(75.44594648547822), np.float64(75.51721276800127), np.float64(75.68152695099553)]",420.1827004849138,0.058560825884342194,,73.49301393862123,75.5483619584022,75.50788177143193,104.86814127604153,65.65582128592516,16.993760777895428
DFOWMFC_GAN,210614_SwinIR,9.029978626179245,"[np.float64(76.29824698098261), np.float64(75.75148775284033), np.float64(75.18779336654542)]",391.0638361549745,0.058338966220617294,,92.30862171372087,75.75072952102384,75.83524909488374,146.4733611958935,75.38145362579317,19.934198097676074
DFOWMFC_GAN,210718_SwinIR,7.564824761284722,"[np.float64(40.4906529075381), np.float64(39.569892976639466), np.float64(40.57269360959373)]",318.9871637267297,0.07961875945329666,,22.41488537446952,40.251385054545146,39.41353434158023,227.85167448221222,61.53570182209919,25.5891391779719
DFOWMFC_GAN,210730_SwinIR,3.5424891114234924,"[np.float64(33.31398698495476), np.float64(33.25720927340769), np.float64(33.289009218962796)]",148.12033272892518,0.014768095687031746,,11.822547356287638,33.28685019767475,33.25719327113287,65.2785183191297,29.61698670253358,13.315666496832684
DFOWMFC_GAN,210801_SwinIR,7.114841715494792,"[np.float64(79.69086559711303), np.float64(77.37834547974643), np.float64(75.18116540148858)]",273.8377866300594,0.040729861706495285,,70.87318693938079,77.5067556596678,77.47612990731379,90.08558139321124,59.94494700768429,16.735239565195094
DFOWMFC_GAN,210808_SwinIR,4.355740998300108,"[np.float64(45.31828150656023), np.float64(44.381671954921835), np.float64(48.88782038426905)]",223.67764525514923,0.025526579469442368,,46.81923075065678,46.816393868486834,43.6819530888589,168.16183814822148,63.00452670928565,19.48694663853551
