model,image,edge_intensity,color_std,texture_score,lpips,niqe,mean_brightness,std_brightness,contrast,sharpness_laplacian,blocking_artifacts,ringing_artifacts
generator_28050.pth,out_200829,13.039577811151366,"[np.float64(64.73837090132916), np.float64(56.91772167751075), np.float64(55.41767592411698)]",616.0704215560212,0.04639497399330139,,64.51355667923171,59.35491090380023,58.6530611283899,106.76013021016034,93.92668429529806,18.197124963904685
generator_28050.pth,out_200916,1.6451656207884098,"[np.float64(23.472908580540363), np.float64(23.47402013394925), np.float64(23.326041249405268)]",152.5558271354823,0.029928511008620262,,9.7352959344115,23.424503364375713,23.474008271553966,19.5934926336038,27.350102868893494,8.057861925533665
generator_28050.pth,out_210225,2.082973438199731,"[np.float64(65.69409925120115), np.float64(65.6529586231842), np.float64(66.0190856153987)]",297.18763088168544,0.10958684980869293,,50.85958942099567,65.78923267149928,65.66972159360995,180.35529415763432,88.66822367417171,19.61712148253979
generator_28050.pth,out_210226,6.894375406107862,"[np.float64(61.94032872806049), np.float64(59.514777252799355), np.float64(55.12489734246344)]",491.38621693949545,0.10036827623844147,,64.71557586094866,60.58967243666951,59.351662108729606,165.06140915818082,94.12973899806178,21.638480585401588
generator_28050.pth,out_210531,3.6369527180989585,"[np.float64(73.68933849303343), np.float64(73.59101128096324), np.float64(73.64702002813827)]",387.02163098631115,0.04159049689769745,,73.26834025065104,73.64247627254812,73.63950765703383,33.00892591688368,69.13183120604324,10.183570885774731
generator_28050.pth,out_210614,9.729510613207546,"[np.float64(75.1711808926958), np.float64(74.59164711723534), np.float64(73.81314929783554)]",436.8933548903604,0.07422417402267456,,91.8816347480423,74.53405788149364,74.67904444797159,133.52008618895647,81.02279577796475,19.82931355869297
generator_28050.pth,out_210718,8.808835177951389,"[np.float64(38.68292617211985), np.float64(38.54590926024178), np.float64(39.47085309656642)]",450.63338331195166,0.14844560623168945,,25.183202220775463,38.91621055006881,38.371085646126524,247.12494579002566,100.9951556146812,26.883319380861685
generator_28050.pth,out_210730,4.064277112483978,"[np.float64(33.52362541136987), np.float64(33.458260433500406), np.float64(33.25177236527133)]",195.60309163518548,0.03863518312573433,,12.416930178801218,33.41143638241551,33.465220122123355,62.21921157836914,51.24765720390721,13.803739409408585
generator_28050.pth,out_210801,8.274408976236979,"[np.float64(78.5530713604343), np.float64(76.4981071116562), np.float64(74.0743906663442)]",318.7722868767532,0.0720776841044426,,70.40396140769676,76.47215234081185,76.54337640376572,146.5494668240018,64.02105254053791,20.0250753567442
generator_28050.pth,out_210808,2.643853345696183,"[np.float64(43.82173358225572), np.float64(43.03801982505331), np.float64(47.53988497111501)]",213.82874189151985,0.02972496673464775,,46.804538839952606,45.41816643613294,42.40979754904226,37.64319662947805,57.49038623683127,11.377490286947694
generator_28050.pth,out_210813,68.91737312078476,"[np.float64(52.50910476924782), np.float64(47.110253490630846), np.float64(44.9041893912077)]",1238.3810487247445,0.24763591587543488,,78.29660121599834,48.281069285086986,47.77929197166909,1585.0735306896988,125.15003147893773,57.81133265361885
generator_28050.pth,out_210911,1.6758591524216524,"[np.float64(44.4990808978216), np.float64(41.88743797507364), np.float64(41.35345235457444)]",111.93195821884147,0.018532633781433105,,18.519401374582998,42.606072238875306,42.53201737560586,22.804332858499524,24.938082603070814,8.994429300549061
generator_28050.pth,out_211019,20.021225451548165,"[np.float64(53.21222444733831), np.float64(52.9680051830051), np.float64(52.30083597675502)]",1021.9935685736338,0.09616851806640625,,61.1283232591106,53.36466856451765,51.777208183996834,148.153590078682,120.39392694742916,22.048506618686435
generator_28050.pth,out_211127,4.924874267578125,"[np.float64(48.67609843508315), np.float64(46.44656457678129), np.float64(46.149310788758875)]",347.72024132301914,0.11624971777200699,,47.318216796875,47.12535748631957,46.86203447829715,151.9342171740017,93.3372716935331,20.20502126325613
generator_28050.pth,out_211214,0.6951081532213657,"[np.float64(45.845235312327596), np.float64(40.00631496638451), np.float64(30.41653244604878)]",192.76730452573193,0.048537544906139374,,77.08504480332996,41.519234708215265,38.71251099315854,18.917232338814078,76.09411742031278,7.6097044328186705
generator_28050.pth,out_211218,4.024167742047991,"[np.float64(35.74831908382872), np.float64(26.950420988970578), np.float64(28.200821200725013)]",243.9133537266666,0.10870739072561264,,31.54396465312199,30.72434415152566,29.30558708629075,228.7981261462774,105.09747314018301,22.181168364759564
generator_28050.pth,out_220109,1.8803863525390625,"[np.float64(73.91535755593736), np.float64(60.38724821683965), np.float64(52.9979034279206)]",259.31078195015397,0.049626827239990234,,56.63473754882813,63.886682662122325,62.819918622515004,60.53859985351563,58.101684466440915,11.80166143414358
generator_28050.pth,out_220119,3.4104019496328224,"[np.float64(47.67720164161006), np.float64(38.35433002912083), np.float64(40.54819786992854)]",314.79208630826736,0.10899434238672256,,44.875333170365046,42.46266754176797,41.14988060758051,111.87921284788784,94.9983182932887,18.08310506749755
generator_28050.pth,out_220206,5.094917606984912,"[np.float64(79.84342792022777), np.float64(79.90366669049101), np.float64(87.03332985445009)]",397.57194043043927,0.042732737958431244,,91.09910335551798,82.58221186102632,80.59706258733252,27.082403447962637,74.29838900321472,9.383019687507884
generator_28050.pth,out_220213,1.6765255272633746,"[np.float64(15.187040356407767), np.float64(17.23293534833621), np.float64(24.050702668139706)]",105.53048396442667,0.033994853496551514,,18.05875771604938,20.408344158553135,17.3048451419947,57.822171210560654,27.064900782360613,12.722977783810213
generator_28050.pth,out_220215,20.632832822768346,"[np.float64(63.42112534787832), np.float64(63.42489785931893), np.float64(63.32953519500692)]",752.104371519587,0.08460018783807755,,63.06591365461848,63.39193379401366,63.417579709497446,352.5416646700438,72.80006908015883,31.770930532867236
