Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.9249970874679783,0.021103441101746213,0.6532834442387793,0.5888657148128934,18.258769919515164,0.47675932421455525
2,1.0022433818042096,0.01272714642190989,0.6369773420811301,0.6412447504531333,20.04641933899233,0.5365914167953153
3,1.000711050294897,0.010692536268112614,0.7232585589112474,0.7243070045376289,19.917805476989447,0.5455870247854958
4,1.0060438316900364,0.010156063648716102,0.7037138684345663,0.7122770609437872,20.615166312831867,0.5788089383352286
5,1.0038517126633881,0.009695824581544764,0.7042015738716765,0.7088069615438003,20.897953511667367,0.5855359217337577
6,1.005005621847772,0.009369358159460656,0.7123261059170825,0.7206369780711877,20.494606912831212,0.5801473507362098
7,0.9997532433360595,0.00927139223256567,0.7530127603319586,0.753951780297895,20.905294411452353,0.5965109162884885
8,1.0036640105342916,0.008747124378419157,0.8518654588795963,0.8588779970979356,21.15636002555012,0.598805201559489
9,1.003009562065134,0.008502000197701053,0.760346528902255,0.7638929397947664,20.95368482600637,0.6000139405366679
10,1.0071787942266044,0.008302243964215033,0.6908467966241838,0.7011666279752898,21.206060097956595,0.5998345746545334
11,1.0061681425332893,0.008522445359657654,0.6034947034580677,0.6116999685710586,20.557311064119446,0.6054225179102148
12,1.0052147686578183,0.008544430507732143,0.6257144102690047,0.6325865902083186,21.18928726060204,0.6038494756740838
13,1.0055510275682416,0.008514371136871972,0.7093674991396025,0.7156788934689073,20.653514315802624,0.6014884094470542
14,1.0026168215590725,0.008226514171539651,0.7013457344634395,0.7055605533468158,20.78969744160057,0.6046594508899534
15,1.001047459651441,0.008322744388673914,0.7101352497739192,0.7129004460015511,20.080589376970067,0.6053645609709609
16,1.001754044669801,0.008063396589727429,0.7324466592710642,0.7360954793891714,21.069727635243808,0.6115863630032627
17,1.0025776079566238,0.008032516556370037,0.6964923659595086,0.7003062886118954,21.45655997853033,0.6101584159580103
18,1.0045154480670238,0.007930465275379765,0.6795756467639035,0.6867932045762767,21.375594262553786,0.6093548939896686
19,1.0043618710530606,0.008028230646315224,0.6759638922782294,0.680764238136361,20.671168097033927,0.604615440447832
20,1.0008850507270286,0.007837898985769687,0.7146885019928695,0.7172165523676566,21.332064174754567,0.6046750333256388
