model,image,edge_intensity,color_std,texture_score,lpips,niqe,mean_brightness,std_brightness,contrast,sharpness_laplacian,blocking_artifacts,ringing_artifacts
DFO_GAN,200829_SwinIR,24.06438101057595,"[np.float64(71.81633883136425), np.float64(65.1742421444307), np.float64(63.959505390202104)]",1036.8717184003078,0.05157032608985901,,59.58753710129291,67.19151384139401,66.55563126680059,836.1832151678232,97.86320988470723,40.54397599344575
DFO_GAN,200916_SwinIR,8.17808183119946,"[np.float64(18.830555715267735), np.float64(18.923150194436033), np.float64(19.115595437738584)]",164.80409145463142,0.05651789531111717,,6.6240691800501645,18.95691087233073,18.90718283611447,166.4926266175019,19.824905345960875,21.024113177516345
DFO_GAN,210225_SwinIR,1.5889858794223017,"[np.float64(67.62999132661064), np.float64(67.43247485173407), np.float64(67.51842225539079)]",143.8053280929103,0.057354770600795746,,50.803459424914166,67.5270529664641,67.44499494493263,83.6041303233593,52.461699934138366,14.062778654457432
DFO_GAN,210226_SwinIR,6.688589384340481,"[np.float64(65.747775091141), np.float64(62.680100817954965), np.float64(57.05824849494206)]",449.04713614780826,0.09661725163459778,,62.575065270558085,63.35040063125515,62.55278783908636,248.34516857509098,96.11104750653521,24.30307481709736
DFO_GAN,210531_SwinIR,13.105740356445313,"[np.float64(75.85075919316549), np.float64(75.58776789908275), np.float64(75.92673130674962)]",461.988897933609,0.09534543007612228,,72.6786119249132,75.78864620620372,75.65452033844376,324.9346664089613,66.95395431074715,27.48813938267954
DFO_GAN,210614_SwinIR,7.56308962264151,"[np.float64(76.26562747324174), np.float64(75.74459898308743), np.float64(75.83137819459675)]",359.75685769016695,0.055422503501176834,,92.53208655120854,75.95007066756206,75.88775398118734,147.27453964634006,75.01192289942477,19.284989138476682
DFO_GAN,210718_SwinIR,5.937848578559028,"[np.float64(40.62738767380537), np.float64(39.3768151992121), np.float64(40.283642437816326)]",283.56961772321824,0.05921591445803642,,22.19044949001736,40.13305857505427,39.308524869323925,149.87071237064345,56.3397011868371,22.02781984394806
DFO_GAN,210730_SwinIR,3.358563780784607,"[np.float64(33.32573191851525), np.float64(33.08399321619486), np.float64(33.09536910197879)]",138.76929753084002,0.015440092422068119,,10.587453663349152,33.16863800535279,33.13610948410131,64.10818713891784,27.30172403822306,13.206788892839667
DFO_GAN,210801_SwinIR,5.9429443359375,"[np.float64(79.5410371377824), np.float64(77.93672458405571), np.float64(76.21125906007887)]",268.90836323120703,0.035280629992485046,,71.07485751681858,77.96024514216384,77.89682088706674,71.87786831098659,63.826685450041246,14.628954804521278
DFO_GAN,210808_SwinIR,3.894725023180343,"[np.float64(44.677452235304344), np.float64(44.73947680871572), np.float64(48.98398435662347)]",229.1950329582143,0.03012298047542572,,46.21977151801199,46.833995802424006,43.795266835777355,129.86311692878525,71.6871407435346,19.15479798945424
DFO_GAN,210813_SwinIR,3.6960160732269287,"[np.float64(49.67112090419522), np.float64(44.060075516795635), np.float64(41.461745563907414)]",243.74370560952292,0.07476391643285751,,82.42835130294164,45.27427798436647,45.09526937072332,117.18245339228858,93.87270838699061,19.007375569769945
DFO_GAN,210911_SwinIR,2.62586291913215,"[np.float64(45.67008720681731), np.float64(42.68452970818515), np.float64(42.466141558837464)]",121.73008696619065,0.01505656260997057,,18.2033380284048,43.63551849674991,43.43508771385856,63.713395905701596,26.248709714793712,12.08979747916674
DFO_GAN,211019_SwinIR,17.599164098337155,"[np.float64(59.03472466978172), np.float64(61.32279968003022), np.float64(64.24584658719155)]",1160.8709970741018,0.045866381376981735,,57.098285172177626,61.88680292804337,59.55821587789948,260.07560294868,102.22012491542176,31.952781313507913
DFO_GAN,211127_SwinIR,4.683221923828125,"[np.float64(49.41711240066284), np.float64(47.79900304842431), np.float64(48.42507674521872)]",254.6097572093614,0.07371392101049423,,45.69538592122396,48.56329076092965,48.118748864847284,147.4038204479943,80.26623901417827,20.11151026381494
DFO_GAN,211214_SwinIR,0.6897693247522027,"[np.float64(46.22214468739858), np.float64(39.94537951851587), np.float64(30.050136736317445)]",103.89714864147945,0.03171667829155922,,78.41033856078683,41.68420139879865,38.76536015094132,33.27412639944763,71.05925057433171,9.345845552325935
DFO_GAN,211218_SwinIR,1.3273021153041296,"[np.float64(35.7270320983905), np.float64(27.45555573769354), np.float64(29.266001792243053)]",98.65694255379096,0.03353307023644447,,31.538172703163298,31.16242734180096,29.696965164995355,30.99137403810297,57.64893415494416,10.001075590416065
DFO_GAN,220109_SwinIR,5.681037394205729,"[np.float64(73.61534284227078), np.float64(60.310214068450406), np.float64(54.22355336549249)]",277.01972204524486,0.05209488421678543,,56.18399371111835,63.96834398524543,62.818038607708544,139.70026319715535,58.02726333219371,18.621768068937442
DFO_GAN,220119_SwinIR,2.689686352570243,"[np.float64(46.673765196649214), np.float64(38.18866065232192), np.float64(40.78374116633429)]",177.58575293656108,0.05666763707995415,,45.574882152866465,42.092123990625254,40.761691880230345,76.34236068253219,59.84430046219681,16.342252516413936
DFO_GAN,220206_SwinIR,14.586087896722164,"[np.float64(83.13718378742387), np.float64(83.51411060332886), np.float64(90.97749731461354)]",501.9034366505151,0.0947745069861412,,91.87177683565297,86.18850084503924,84.13730066129469,376.6117673875756,69.28499462293209,30.87488837215516
DFO_GAN,220213_SwinIR,1.1797083976337448,"[np.float64(15.912891321868605), np.float64(17.529858573210518), np.float64(23.85984550556894)]",77.199961803463,0.027183260768651962,,17.554669495884774,20.923748032785028,17.62421933809,41.607180855615134,38.05743936173205,10.626622006994781
DFO_GAN,220215_SwinIR,20.880001540251918,"[np.float64(64.04829448455428), np.float64(63.774706538350436), np.float64(63.94633243529002)]",749.486192044266,0.09775038063526154,,60.28575381069734,63.92345079411366,63.83316721726815,826.8102470250312,68.41933448876892,41.29300671141156
