model,image,edge_intensity,color_std,texture_score,lpips,niqe,mean_brightness,std_brightness,contrast,sharpness_laplacian,blocking_artifacts,ringing_artifacts
DFO_PSNR,200829_SwinIR,24.011904187090416,"[np.float64(71.05396713524321), np.float64(63.36102643090679), np.float64(61.99316136520475)]",1041.0702154606934,0.020138701424002647,,63.51002509124088,65.76778021799147,65.0675881142779,377.0493960242663,78.70988042138609,32.48291851308082
DFO_PSNR,200916_SwinIR,4.324326672001348,"[np.float64(24.282924049977222), np.float64(24.291363889241204), np.float64(24.254767414159094)]",186.0384796409635,0.01171211525797844,,9.270163339510333,24.27635847790389,24.289350155096695,19.821782081419858,21.387405880380822,8.568754252619982
DFO_PSNR,210225_SwinIR,1.2346031124048364,"[np.float64(66.93515901691656), np.float64(66.92908758042599), np.float64(66.89083596217529)]",130.39398864588372,0.027752218768000603,,51.37641399369309,66.91837018775604,66.92818856165812,41.48830013266273,31.907447401620377,11.1471544964703
DFO_PSNR,210226_SwinIR,5.280069241390513,"[np.float64(64.24560525708884), np.float64(61.13470910729428), np.float64(55.56732810472699)]",416.1253913426072,0.024959219619631767,,65.37720250342936,62.19959344619551,60.97133860921071,114.68158232573201,69.62611289067296,17.294810368571678
DFO_PSNR,210531_SwinIR,6.459702555338541,"[np.float64(74.7791459019186), np.float64(74.77104709057275), np.float64(74.82626324755415)]",448.0025942772421,0.017137330025434494,,73.19554375542535,74.79216436574256,74.77166973987464,48.28313496907551,63.80375097681688,11.81340852323781
DFO_PSNR,210614_SwinIR,5.713719781839623,"[np.float64(76.05715291560955), np.float64(75.52026796694882), np.float64(74.69835149520907)]",377.3547352387202,0.015913590788841248,,92.58205220472622,75.43489036196182,75.57424034258204,50.01109263723176,69.75001534497402,12.098493464742761
DFO_PSNR,210718_SwinIR,5.035392252604167,"[np.float64(41.21088710373112), np.float64(39.833878279108404), np.float64(40.135997478617135)]",306.2436544864621,0.018870260566473007,,23.920301197193286,40.426732169386916,39.720385068082436,39.545322082841366,51.467790755167414,14.439961317303174
DFO_PSNR,210730_SwinIR,3.0683961510658264,"[np.float64(33.98596462602864), np.float64(34.00993981714203), np.float64(34.01620530202617)]",142.4400028440922,0.007644957862794399,,11.855394323666891,34.00404706320439,34.00480684835848,32.28805351250845,16.04014610877404,10.014252060114844
DFO_PSNR,210801_SwinIR,6.123486328125,"[np.float64(79.67915842813751), np.float64(77.80396996279494), np.float64(75.28264113213542)]",293.23897906291785,0.012732458300888538,,71.45029075339988,77.68975667400397,77.6961739251402,36.32206434372758,50.10881628109534,11.148185060295923
DFO_PSNR,210808_SwinIR,3.281521644645341,"[np.float64(45.87469369713641), np.float64(44.504852577204886), np.float64(49.69949784550222)]",207.2842596473827,0.00727090984582901,,46.965222965924895,47.29470145358567,43.91542132687435,45.75347881665013,39.423671037132976,12.876951165228627
DFO_PSNR,210813_SwinIR,2.9467418789863586,"[np.float64(49.82519065982589), np.float64(44.05946792592235), np.float64(40.62086225321077)]",237.54173045242925,0.03552462160587311,,81.934697051843,45.0381226094301,44.94366565272481,40.06345353788258,66.85878456125039,13.622851580998551
DFO_PSNR,210911_SwinIR,2.4396401764190228,"[np.float64(45.63288962087434), np.float64(42.83786043672524), np.float64(42.554932845389295)]",118.35765384775465,0.008193999528884888,,18.599849141342197,43.70140895425472,43.51066380435284,22.54332824256702,20.48630552968624,9.049275413419235
DFO_PSNR,211019_SwinIR,17.693442696387613,"[np.float64(58.89421736106394), np.float64(64.38808621594968), np.float64(68.06883116737124)]",1258.6760927614084,0.05100466310977936,,59.66177847859327,64.37394685928022,61.43420173923677,351.66090367074344,98.09057591157796,38.46818627446467
DFO_PSNR,211127_SwinIR,2.497418701171875,"[np.float64(49.72145803610985), np.float64(47.92347415995817), np.float64(48.2955957756208)]",250.41472048543045,0.014725512824952602,,47.13211261393229,48.671606228699595,48.242105615348784,16.022341157089706,63.59541163889717,8.854795617245898
DFO_PSNR,211214_SwinIR,0.6172563325991189,"[np.float64(47.52263279742795), np.float64(40.735092955393256), np.float64(30.622141615875627)]",100.44293001674797,0.008278438821434975,,78.04593717973721,42.50561725398103,39.551625431815204,11.222702135174647,36.28416446134881,6.509889062996429
DFO_PSNR,211218_SwinIR,1.134322030203683,"[np.float64(37.01347745999073), np.float64(27.951137541038907), np.float64(30.252107990106598)]",87.79668694794837,0.010862589813768864,,31.027191140738523,32.14890815694054,30.479147316521104,12.251873176452323,26.240692464994375,7.045231864003216
DFO_PSNR,220109_SwinIR,2.528850301106771,"[np.float64(76.33332824433334), np.float64(61.2009910499959), np.float64(53.71806497709802)]",256.83486244196155,0.006651964038610458,,57.23603101942274,65.34058106623053,63.85043863216081,43.739746704101556,48.756716158721886,9.152370629431177
DFO_PSNR,220119_SwinIR,2.3909430375957856,"[np.float64(48.73176670706227), np.float64(39.13050429795874), np.float64(41.949149956457134)]",178.08022911100875,0.029024070128798485,,44.88342174639918,43.53177440482722,42.022715088532536,31.472524948173504,40.07268838916299,12.468526148461985
DFO_PSNR,220206_SwinIR,9.103598952913632,"[np.float64(83.14996417334216), np.float64(82.87069116628687), np.float64(91.02937762424985)]",508.17603216755606,0.02172703482210636,,90.82873785535178,86.0308696886247,83.75007252912413,73.81988312406456,61.29940724295,17.13406960337898
DFO_PSNR,220213_SwinIR,1.2556520061728396,"[np.float64(16.459764787417118), np.float64(17.59989808035581), np.float64(24.818266773956932)]",72.02212880817474,0.01008259691298008,,17.763168581390033,21.32032860627124,17.911815810198256,12.63890011827024,15.255346348608555,7.42104647456326
DFO_PSNR,220215_SwinIR,14.36566115313527,"[np.float64(65.5711133272215), np.float64(65.54681868005126), np.float64(65.5695741597675)]",736.1331754911474,0.030646933242678642,,63.198990231760376,65.56250335902926,65.55278760838995,217.05650435548984,60.30644882232416,24.626312820283797
